0-1,0,0,0,0,0,0,0,0,0,0,0,0
1-2,0,0,0,0,0,0,0,0,0,0,0,0
2-3,0,0,0,0,0,0,0,0,0,0,0,0
3-4,0,0,0,0,0,0,0,0,0,0,0,0
4-5,0,0,0,0,6,31,10,0,0,0,0,0
5-6,0,0,0,2,128,171,117,28,0,0,0,0
6-7,0,0,0,168,339,357,296,191,42,0,0,0
7-8,0,0,122,396,559,558,508,390,232,44,0,0
8-9,0,82,366,622,778,758,721,604,421,215,22,0
9-10,87,264,556,799,930,909,876,778,582,336,125,37
10-11,184,373,677,891,999,978,948,865,671,401,179,110
11-12,208,392,686,895,998,978,949,872,659,394,174,128
12-13,193,372,656,834,931,900,881,817,630,383,169,121
13-14,156,340,593,765,845,830,807,746,560,340,134,85
14-15,86,266,476,625,708,722,707,632,439,236,69,29
15-16,16,130,296,450,542,571,565,470,290,106,10,0
16-17,0,22,132,265,372,428,409,305,137,15,0,0
17-18,0,0,33,116,202,260,251,154,43,0,0,0
18-19,0,0,0,32,86,119,113,58,1,0,0,0
19-20,0,0,0,0,25,54,46,7,0,0,0,0
20-21,0,0,0,0,0,5,2,0,0,0,0,0
21-22,0,0,0,0,0,0,0,0,0,0,0,0
22-23,0,0,0,0,0,0,0,0,0,0,0,0
23-24,0,0,0,0,0,0,0,0,0,0,0,0
